Subject,Vignette,Face,Arousal,StoryEmotion,FaceExpression,RT
40,1,Anger 1 Male.JPG,3.56,Anger,Anger,1045
44,1,Anger 1 Male.JPG,3.56,Anger,Anger,1402
51,1,Anger 1 Male.JPG,3.56,Anger,Anger,1740
56,1,Anger 1 Male.JPG,3.56,Anger,Anger,1615
59,1,Anger 1 Male.JPG,3.56,Anger,Anger,810
63,1,Anger 1 Male.JPG,3.56,Anger,Anger,1130
64,1,Anger 1 Male.JPG,3.56,Anger,Anger,1017
65,1,Anger 1 Male.JPG,3.56,Anger,Anger,725
66,1,Anger 1 Male.JPG,3.56,Anger,Anger,1196
67,1,Anger 1 Male.JPG,3.56,Anger,Anger,1041
69,1,Anger 1 Male.JPG,3.56,Anger,Anger,995
72,1,Anger 1 Male.JPG,3.56,Anger,Anger,2878
38,1,Fear 1 Male.JPG,3.67,Anger,Fear,9652
39,1,Fear 1 Male.JPG,3.67,Anger,Fear,2633
45,1,Fear 1 Male.JPG,3.67,Anger,Fear,2560
46,1,Fear 1 Male.JPG,3.67,Anger,Fear,2398
48,1,Fear 1 Male.JPG,3.67,Anger,Fear,1525
50,1,Fear 1 Male.JPG,3.67,Anger,Fear,6614
52,1,Fear 1 Male.JPG,3.67,Anger,Fear,1735
54,1,Fear 1 Male.JPG,3.67,Anger,Fear,1545
55,1,Fear 1 Male.JPG,3.67,Anger,Fear,1890
58,1,Fear 1 Male.JPG,3.67,Anger,Fear,1426
60,1,Fear 1 Male.JPG,3.67,Anger,Fear,992
61,1,Fear 1 Male.JPG,3.67,Anger,Fear,1515
62,1,Fear 1 Male.JPG,3.67,Anger,Fear,1951
70,1,Fear 1 Male.JPG,3.67,Anger,Fear,1521
38,2,Anger 1 Male.JPG,3.56,Anger,Anger,2651
39,2,Anger 1 Male.JPG,3.56,Anger,Anger,2956
42,2,Anger 1 Male.JPG,3.56,Anger,Anger,2294
45,2,Anger 1 Male.JPG,3.56,Anger,Anger,2106
46,2,Anger 1 Male.JPG,3.56,Anger,Anger,1556
48,2,Anger 1 Male.JPG,3.56,Anger,Anger,1174
50,2,Anger 1 Male.JPG,3.56,Anger,Anger,5277
52,2,Anger 1 Male.JPG,3.56,Anger,Anger,1125
54,2,Anger 1 Male.JPG,3.56,Anger,Anger,1625
55,2,Anger 1 Male.JPG,3.56,Anger,Anger,1466
57,2,Anger 1 Male.JPG,3.56,Anger,Anger,5565
58,2,Anger 1 Male.JPG,3.56,Anger,Anger,1236
60,2,Anger 1 Male.JPG,3.56,Anger,Anger,476
61,2,Anger 1 Male.JPG,3.56,Anger,Anger,1045
62,2,Anger 1 Male.JPG,3.56,Anger,Anger,1640
70,2,Anger 1 Male.JPG,3.56,Anger,Anger,1346
40,2,Fear 1 Male.JPG,3.67,Anger,Fear,1575
44,2,Fear 1 Male.JPG,3.67,Anger,Fear,3089
47,2,Fear 1 Male.JPG,3.67,Anger,Fear,3521
51,2,Fear 1 Male.JPG,3.67,Anger,Fear,3742
53,2,Fear 1 Male.JPG,3.67,Anger,Fear,1831
56,2,Fear 1 Male.JPG,3.67,Anger,Fear,1149
59,2,Fear 1 Male.JPG,3.67,Anger,Fear,1230
