Subject,Vignette,Face,StoryEmotion,FaceExpression,RT
1,2,Happy 2 Male.JPG,Sad,Happy,1662
100,2,Sad 4 Male.JPG,Sad,Sad,1620
2,2,Happy 2 Male.JPG,Sad,Happy,1206
200,2,Sad 4 Male.JPG,Sad,Sad,1670
5,2,Sad 4 Male.JPG,Sad,Sad,1658
6,2,Happy 2 Male.JPG,Sad,Happy,2389
8,2,Sad 4 Male.JPG,Sad,Sad,1544
9,2,Happy 2 Male.JPG,Sad,Happy,1263
11,2,Sad 4 Male.JPG,Sad,Sad,909
12,2,Sad 4 Male.JPG,Sad,Sad,1019
13,2,Happy 2 Male.JPG,Sad,Happy,1963
14,2,Sad 4 Male.JPG,Sad,Sad,1970
15,2,Sad 4 Male.JPG,Sad,Sad,873
16,2,Happy 2 Male.JPG,Sad,Happy,1237
17,2,Happy 2 Male.JPG,Sad,Happy,1547
18,2,Happy 2 Male.JPG,Sad,Happy,1068
20,2,Happy 2 Male.JPG,Sad,Happy,1461
21,2,Happy 2 Male.JPG,Sad,Happy,838
22,2,Sad 4 Male.JPG,Sad,Sad,1392
26,2,Sad 4 Male.JPG,Sad,Sad,674
27,2,Sad 4 Male.JPG,Sad,Sad,767
28,2,Sad 4 Male.JPG,Sad,Sad,771
29,2,Happy 2 Male.JPG,Sad,Happy,2003
30,2,Happy 2 Male.JPG,Sad,Happy,1747
31,2,Happy 2 Male.JPG,Sad,Happy,848
34,2,Sad 4 Male.JPG,Sad,Sad,669
36,2,Sad 4 Male.JPG,Sad,Sad,1194
37,2,Sad 4 Male.JPG,Sad,Sad,1263
1,3,Sad 1 Female.JPG,Sad,Sad,1306
100,3,Happy 3 Female.JPG,Sad,Happy,1592
2,3,Sad 1 Female.JPG,Sad,Sad,1321
5,3,Happy 3 Female.JPG,Sad,Happy,766
6,3,Sad 1 Female.JPG,Sad,Sad,1898
8,3,Happy 3 Female.JPG,Sad,Happy,1806
9,3,Sad 1 Female.JPG,Sad,Sad,1348
10,3,Sad 1 Female.JPG,Sad,Sad,1357
11,3,Happy 3 Female.JPG,Sad,Happy,1432
12,3,Happy 3 Female.JPG,Sad,Happy,1346
13,3,Sad 1 Female.JPG,Sad,Sad,1614
15,3,Happy 3 Female.JPG,Sad,Happy,968
16,3,Sad 1 Female.JPG,Sad,Sad,1470
17,3,Sad 1 Female.JPG,Sad,Sad,1505
18,3,Sad 1 Female.JPG,Sad,Sad,1489
19,3,Sad 1 Female.JPG,Sad,Sad,1398
20,3,Sad 1 Female.JPG,Sad,Sad,951
21,3,Sad 1 Female.JPG,Sad,Sad,1155
22,3,Happy 3 Female.JPG,Sad,Happy,1201
26,3,Happy 3 Female.JPG,Sad,Happy,1081
27,3,Happy 3 Female.JPG,Sad,Happy,956
29,3,Sad 1 Female.JPG,Sad,Sad,1815
30,3,Sad 1 Female.JPG,Sad,Sad,1337
31,3,Sad 1 Female.JPG,Sad,Sad,689
32,3,Sad 1 Female.JPG,Sad,Sad,1231
34,3,Happy 3 Female.JPG,Sad,Happy,967
36,3,Happy 3 Female.JPG,Sad,Happy,1750
37,3,Happy 3 Female.JPG,Sad,Happy,1566
49,3,Happy 3 Female.JPG,Sad,Happy,2561
1,4,Sad 2 Female.JPG,Happy,Sad,1514
100,4,Happy 4 Female.JPG,Happy,Happy,1057
2,4,Sad 2 Female.JPG,Happy,Sad,1602
200,4,Happy 4 Female.JPG,Happy,Happy,1240
5,4,Happy 4 Female.JPG,Happy,Happy,848
6,4,Sad 2 Female.JPG,Happy,Sad,8071
8,4,Happy 4 Female.JPG,Happy,Happy,1283
9,4,Sad 2 Female.JPG,Happy,Sad,1191
10,4,Sad 2 Female.JPG,Happy,Sad,1237
11,4,Happy 4 Female.JPG,Happy,Happy,747
12,4,Happy 4 Female.JPG,Happy,Happy,1003
13,4,Sad 2 Female.JPG,Happy,Sad,2396
14,4,Happy 4 Female.JPG,Happy,Happy,1938
15,4,Happy 4 Female.JPG,Happy,Happy,793
16,4,Sad 2 Female.JPG,Happy,Sad,1363
17,4,Sad 2 Female.JPG,Happy,Sad,1218
18,4,Sad 2 Female.JPG,Happy,Sad,1288
19,4,Sad 2 Female.JPG,Happy,Sad,920
20,4,Sad 2 Female.JPG,Happy,Sad,1362
21,4,Sad 2 Female.JPG,Happy,Sad,828
26,4,Happy 4 Female.JPG,Happy,Happy,865
27,4,Happy 4 Female.JPG,Happy,Happy,822
28,4,Happy 4 Female.JPG,Happy,Happy,899
29,4,Sad 2 Female.JPG,Happy,Sad,4664
30,4,Sad 2 Female.JPG,Happy,Sad,1166
31,4,Sad 2 Female.JPG,Happy,Sad,1094
32,4,Sad 2 Female.JPG,Happy,Sad,1397
34,4,Happy 4 Female.JPG,Happy,Happy,1104
36,4,Happy 4 Female.JPG,Happy,Happy,1427
37,4,Happy 4 Female.JPG,Happy,Happy,806
1,5,Happy 3 Female.JPG,Happy,Happy,1220
100,5,Sad 1 Female.JPG,Happy,Sad,1684
2,5,Happy 3 Female.JPG,Happy,Happy,1208
200,5,Sad 1 Female.JPG,Happy,Sad,2014
5,5,Sad 1 Female.JPG,Happy,Sad,1205
6,5,Happy 3 Female.JPG,Happy,Happy,1377
8,5,Sad 1 Female.JPG,Happy,Sad,1627
9,5,Happy 3 Female.JPG,Happy,Happy,1016
10,5,Happy 3 Female.JPG,Happy,Happy,1012
11,5,Sad 1 Female.JPG,Happy,Sad,973
12,5,Sad 1 Female.JPG,Happy,Sad,1368
13,5,Happy 3 Female.JPG,Happy,Happy,1988
14,5,Sad 1 Female.JPG,Happy,Sad,2230
15,5,Sad 1 Female.JPG,Happy,Sad,760
16,5,Happy 3 Female.JPG,Happy,Happy,1759
17,5,Happy 3 Female.JPG,Happy,Happy,1227
18,5,Happy 3 Female.JPG,Happy,Happy,966
19,5,Happy 3 Female.JPG,Happy,Happy,870
20,5,Happy 3 Female.JPG,Happy,Happy,973
21,5,Happy 3 Female.JPG,Happy,Happy,757
22,5,Sad 1 Female.JPG,Happy,Sad,1385
27,5,Sad 1 Female.JPG,Happy,Sad,1142
29,5,Happy 3 Female.JPG,Happy,Happy,1753
30,5,Happy 3 Female.JPG,Happy,Happy,1545
31,5,Happy 3 Female.JPG,Happy,Happy,718
32,5,Happy 3 Female.JPG,Happy,Happy,1392
34,5,Sad 1 Female.JPG,Happy,Sad,1048
36,5,Sad 1 Female.JPG,Happy,Sad,2056
37,5,Sad 1 Female.JPG,Happy,Sad,1019
49,5,Sad 1 Female.JPG,Happy,Sad,1718
1,6,Happy 4 Female.JPG,Sad,Happy,2552
100,6,Sad 2 Female.JPG,Sad,Sad,1176
2,6,Happy 4 Female.JPG,Sad,Happy,1481
200,6,Sad 2 Female.JPG,Sad,Sad,1666
5,6,Sad 2 Female.JPG,Sad,Sad,1437
6,6,Happy 4 Female.JPG,Sad,Happy,2051
8,6,Sad 2 Female.JPG,Sad,Sad,1247
9,6,Happy 4 Female.JPG,Sad,Happy,1296
10,6,Happy 4 Female.JPG,Sad,Happy,1398
11,6,Sad 2 Female.JPG,Sad,Sad,814
12,6,Sad 2 Female.JPG,Sad,Sad,787
13,6,Happy 4 Female.JPG,Sad,Happy,1448
14,6,Sad 2 Female.JPG,Sad,Sad,1545
15,6,Sad 2 Female.JPG,Sad,Sad,1007
16,6,Happy 4 Female.JPG,Sad,Happy,1162
17,6,Happy 4 Female.JPG,Sad,Happy,3339
18,6,Happy 4 Female.JPG,Sad,Happy,1262
19,6,Happy 4 Female.JPG,Sad,Happy,1100
20,6,Happy 4 Female.JPG,Sad,Happy,1227
21,6,Happy 4 Female.JPG,Sad,Happy,782
22,6,Sad 2 Female.JPG,Sad,Sad,997
26,6,Sad 2 Female.JPG,Sad,Sad,769
27,6,Sad 2 Female.JPG,Sad,Sad,1442
