Subject,Vignette,Face,Experiment,StoryEmotion,FaceExpression,Congruency,RT
38,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,9652
39,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,2633
40,1,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1045
44,1,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1402
45,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,2560
46,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,2398
48,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1525
50,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,6614
51,1,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1740
52,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1735
54,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1545
55,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1890
56,1,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1615
58,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1426
59,1,Anger 1 Male.JPG,1,Anger,Anger,Congruent,810
60,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,992
61,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1515
62,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1951
63,1,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1130
64,1,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1017
65,1,Anger 1 Male.JPG,1,Anger,Anger,Congruent,725
66,1,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1196
67,1,Anger 1 Male.JPG,1,Anger,Anger,Congruent,1041
69,1,Anger 1 Male.JPG,1,Anger,Anger,Congruent,995
70,1,Fear 1 Male.JPG,1,Anger,Fear,Incongruent,1521
72,1,Anger 1 Male.JPG,1,Anger,Anger,Congruent,2878
1,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,1659
2,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,1656
5,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,1134
6,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,2159
8,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,1280
9,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,1099
10,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,1129
11,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,1193
12,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,1043
13,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,1217
14,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,2595
15,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,1112
16,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,1057
17,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,763
18,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,1057
19,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,989
20,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,1141
21,33,Happy 1 Male.JPG,2,Happy,Happy,Congruent,901
22,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,1284
26,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,1573
27,33,Sad 3 Male.JPG,2,Happy,Sad,Incongruent,1027
