Subject,Vignette,Face,Arousal,StoryEmotion,FaceExpression,Accuracy
38,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
39,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
40,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
42,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
44,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
45,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
46,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
47,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
48,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
50,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
51,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
52,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
53,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
54,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
55,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
56,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
57,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
58,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
59,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
60,10,Anger 1 Female.JPG,3.19,Anger,Anger,0
61,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
62,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
63,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
64,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
65,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
66,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
67,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
69,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
70,10,Anger 1 Female.JPG,3.19,Anger,Anger,1
71,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
72,9,Anger 1 Female.JPG,3.19,Anger,Anger,1
38,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
39,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
40,1,Anger 1 Male.JPG,3.56,Anger,Anger,1
42,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
44,1,Anger 1 Male.JPG,3.56,Anger,Anger,1
45,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
46,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
48,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
50,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
51,1,Anger 1 Male.JPG,3.56,Anger,Anger,1
52,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
54,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
55,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
56,1,Anger 1 Male.JPG,3.56,Anger,Anger,1
57,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
58,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
59,1,Anger 1 Male.JPG,3.56,Anger,Anger,1
60,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
61,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
62,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
63,1,Anger 1 Male.JPG,3.56,Anger,Anger,1
64,1,Anger 1 Male.JPG,3.56,Anger,Anger,1
65,1,Anger 1 Male.JPG,3.56,Anger,Anger,1
66,1,Anger 1 Male.JPG,3.56,Anger,Anger,1
67,1,Anger 1 Male.JPG,3.56,Anger,Anger,1
69,1,Anger 1 Male.JPG,3.56,Anger,Anger,1
70,2,Anger 1 Male.JPG,3.56,Anger,Anger,1
72,1,Anger 1 Male.JPG,3.56,Anger,Anger,1
38,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
39,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
40,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
42,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
44,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
45,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
46,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
47,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
48,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
50,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
51,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
52,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
53,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
54,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
55,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
56,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
57,12,Anger 2 Female.JPG,3.16,Anger,Anger,0
58,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
59,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
60,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
62,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
63,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
64,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
65,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
66,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
67,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
68,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
69,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
70,12,Anger 2 Female.JPG,3.16,Anger,Anger,1
71,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
72,11,Anger 2 Female.JPG,3.16,Anger,Anger,1
38,4,Anger 2 Male.JPG,3.52,Anger,Anger,0
39,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
40,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
42,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
44,3,Anger 2 Male.JPG,3.52,Anger,Anger,1
45,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
46,4,Anger 2 Male.JPG,3.52,Anger,Anger,1
