Subject,ExperimentName,Trials,KDEFfaces,Arousal,StoryEmotion,FaceExpression,Stats,RT,,
38,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,2896.00,,
39,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,2676.00,,
40,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1199.00,,
42,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,2464.00,,
44,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,2010.00,,
45,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,2343.00,,
46,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1386.00,,
47,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,2107.00,,
48,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1103.00,,
50,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,3923.00,,
51,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1161.00,,
52,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1167.00,,
53,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,3291.00,,
54,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1248.00,,
55,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,2318.00,,
56,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1220.00,,
57,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1760.00,,
58,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1400.00,,
59,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,941.00,,
61,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1200.00,,
62,SS Study 2 ExpB,10,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,2325.00,,
63,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,892.00,,
64,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1402.00,,
65,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1175.00,,
66,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,755.00,,
67,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1300.00,,
69,SS Study 2 ExpA,9,Anger 1 Female.JPG,3.19,Anger,Anger,Total Slide1.RT,1001.00,,
