Subject,Vignette,Face,StoryEmotion,FaceExpression,Acc
1,1,Happy 1 Male.JPG,Happy,Happy,1
1,2,Happy 2 Male.JPG,Sad,Happy,1
1,3,Sad 1 Female.JPG,Sad,Sad,1
1,4,Sad 2 Female.JPG,Happy,Sad,1
1,5,Happy 3 Female.JPG,Happy,Happy,1
1,6,Happy 4 Female.JPG,Sad,Happy,1
1,7,Sad 3 Male.JPG,Sad,Sad,1
1,8,Sad 4 Male.JPG,Happy,Sad,1
1,9,Happy 5 Male.JPG,Happy,Happy,1
1,10,Happy 6 Male.JPG,Sad,Happy,1
1,12,Sad 6 Female.JPG,Happy,Sad,1
1,13,Happy 7 Female.JPG,Happy,Happy,1
1,14,Happy 8 Female.JPG,Sad,Happy,1
1,15,Sad 7 Male.JPG,Sad,Sad,1
1,16,Sad 8 Male.JPG,Happy,Sad,1
1,17,Happy 9 Male.JPG,Happy,Happy,1
1,18,Happy 10 Male.JPG,Sad,Happy,1
1,19,Sad 9 Female.JPG,Sad,Sad,1
1,20,Sad 10 Female.JPG,Happy,Sad,1
1,21,Happy 11 Female.JPG,Happy,Happy,1
1,22,Happy 12 Female.JPG,Sad,Happy,1
1,23,Sad 11 Male.JPG,Sad,Sad,1
1,24,Sad 12 Male.JPG,Happy,Sad,1
1,25,Happy 13 Male.JPG,Happy,Happy,1
1,26,Happy 14 Male.JPG,Sad,Happy,1
1,27,Sad 13 Female.JPG,Sad,Sad,1
1,28,Sad 14 Female.JPG,Happy,Sad,1
1,29,Happy 15 Female.JPG,Happy,Happy,1
1,30,Happy 16 Female.JPG,Sad,Happy,1
1,31,Sad 15 Male.JPG,Sad,Sad,1
1,32,Sad 16 Male.JPG,Happy,Sad,1
100,1,Sad 3 Male.JPG,Happy,Sad,1
100,2,Sad 4 Male.JPG,Sad,Sad,1
100,3,Happy 3 Female.JPG,Sad,Happy,1
100,4,Happy 4 Female.JPG,Happy,Happy,1
100,5,Sad 1 Female.JPG,Happy,Sad,1
100,6,Sad 2 Female.JPG,Sad,Sad,1
100,7,Happy 1 Male.JPG,Sad,Happy,1
100,8,Happy 2 Male.JPG,Happy,Happy,1
100,9,Sad 7 Male.JPG,Happy,Sad,1
100,10,Sad 8 Male.JPG,Sad,Sad,1
100,11,Happy 7 Female.JPG,Sad,Happy,1
100,12,Happy 8 Female.JPG,Happy,Happy,1
100,13,Sad 5 Female.JPG,Happy,Sad,1
100,14,Sad 6 Female.JPG,Sad,Sad,1
100,15,Happy 5 Male.JPG,Sad,Happy,1
100,16,Happy 6 Male.JPG,Happy,Happy,1
100,17,Sad 11 Male.JPG,Happy,Sad,1
100,18,Sad 12 Male.JPG,Sad,Sad,1
100,19,Happy 11 Female.JPG,Sad,Happy,1
100,20,Happy 12 Female.JPG,Happy,Happy,1
100,21,Sad 9 Female.JPG,Happy,Sad,1
100,22,Sad 10 Female.JPG,Sad,Sad,1
100,23,Happy 9 Male.JPG,Sad,Happy,1
100,24,Happy 10 Male.JPG,Happy,Happy,1
100,25,Sad 15 Male.JPG,Happy,Sad,1
100,26,Sad 16 Male.JPG,Sad,Sad,1
100,27,Happy 15 Female.JPG,Sad,Happy,1
100,28,Happy 16 Female.JPG,Happy,Happy,1
100,29,Sad 13 Female.JPG,Happy,Sad,1
100,30,Sad 14 Female.JPG,Sad,Sad,1
100,31,Happy 13 Male.JPG ,Sad,Happy,1
100,32,Happy 14 Male.JPG,Happy,Happy,1
2,1,Happy 1 Male.JPG,Happy,Happy,1
2,2,Happy 2 Male.JPG,Sad,Happy,1
2,3,Sad 1 Female.JPG,Sad,Sad,1
2,4,Sad 2 Female.JPG,Happy,Sad,1
2,5,Happy 3 Female.JPG,Happy,Happy,1
2,6,Happy 4 Female.JPG,Sad,Happy,1
2,7,Sad 3 Male.JPG,Sad,Sad,1
2,8,Sad 4 Male.JPG,Happy,Sad,1
2,9,Happy 5 Male.JPG,Happy,Happy,1
2,10,Happy 6 Male.JPG,Sad,Happy,1
2,12,Sad 6 Female.JPG,Happy,Sad,1
2,13,Happy 7 Female.JPG,Happy,Happy,1
2,14,Happy 8 Female.JPG,Sad,Happy,1
2,15,Sad 7 Male.JPG,Sad,Sad,1
2,16,Sad 8 Male.JPG,Happy,Sad,1
2,18,Happy 10 Male.JPG,Sad,Happy,1
2,19,Sad 9 Female.JPG,Sad,Sad,1
2,20,Sad 10 Female.JPG,Happy,Sad,1
2,21,Happy 11 Female.JPG,Happy,Happy,1
2,22,Happy 12 Female.JPG,Sad,Happy,1
2,23,Sad 11 Male.JPG,Sad,Sad,1
2,25,Happy 13 Male.JPG,Happy,Happy,1
2,26,Happy 14 Male.JPG,Sad,Happy,1
2,27,Sad 13 Female.JPG,Sad,Sad,1
2,28,Sad 14 Female.JPG,Happy,Sad,1
2,29,Happy 15 Female.JPG,Happy,Happy,1
2,30,Happy 16 Female.JPG,Sad,Happy,1
2,31,Sad 15 Male.JPG,Sad,Sad,1
2,32,Sad 16 Male.JPG,Happy,Sad,1
200,1,Sad 3 Male.JPG,Happy,Sad,1
